Side,Grade,Source/Destination,All,Lpd,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Session,Lot_ID,Date,Time
F,Rejected,1/5-1/5,67,35,4,2,3,3,1,3,0,3,ZZBARESI_HT,LONG TEST,20221013,1657
F,Rejected,1/22-1/22,187,116,3,5,2,13,4,10,3,10,ZZBARESI_HT,LONG TEST,20221013,1657
F,Rejected,1/10-1/10,299,124,10,7,8,7,4,6,6,13,ZZBARESI_HT,LONG TEST,20221013,1657
F,Rejected,1/16-1/16,166,58,4,5,6,2,4,1,1,5,ZZBARESI_HT,LONG TEST,20221013,1657
F,Rejected,1/2-1/2,712,657,10,4,208,152,122,101,42,18,ZZBARESI_HT_MANUTEST,LONG TEST,20221205,1600
F,Rejected,1/3-1/3,719,642,17,8,208,157,118,80,43,11,ZZBARESI_HT_MANUTEST,LONG TEST,20221205,1600
F,Rejected,1/4-1/4,841,755,6,8,208,184,146,131,59,13,ZZBARESI_HT_MANUTEST,LONG TEST,20221205,1600
F,Rejected,1/5-1/5,718,657,10,4,185,177,128,92,47,14,ZZBARESI_HT_MANUTEST,LONG TEST,20221205,1600
F,Rejected,1/6-1/6,702,614,8,4,190,150,115,78,58,11,ZZBARESI_HT_MANUTEST,LONG TEST,20221205,1600
F,Rejected,1/7-1/7,790,700,12,6,197,171,153,85,62,14,ZZBARESI_HT_MANUTEST,LONG TEST,20221205,1600
F,Rejected,1/8-1/8,653,598,9,3,189,155,110,83,38,11,ZZBARESI_HT_MANUTEST,LONG TEST,20221205,1600
F,Rejected,1/9-1/9,987,850,77,23,257,183,160,85,50,15,ZZBARESI_HT_MANUTEST,LONG TEST,20221205,1600
F,Rejected,1/10-1/10,621,579,6,7,160,149,137,58,50,12,ZZBARESI_HT_MANUTEST,LONG TEST,20221205,1600
F,Rejected,1/11-1/11,659,600,25,8,163,164,104,83,38,15,ZZBARESI_HT_MANUTEST,LONG TEST,20221205,1600
F,Rejected,1/1-1/1,83,54,23,11,5,3,5,4,0,3,ZZBARESI_HT_MANUTEST,LONG TEST,20221205,1600
F,Rejected,1/13-1/13,687,629,14,11,154,147,134,95,59,15,ZZBARESI_HT_MANUTEST,LONG TEST,20221205,1600
F,Rejected,1/14-1/14,1438,1158,138,62,255,252,180,138,99,34,ZZBARESI_HT_MANUTEST,LONG TEST,20221205,1600
F,Rejected,1/15-1/15,1079,849,55,30,225,187,152,99,79,22,ZZBARESI_HT_MANUTEST,LONG TEST,20221205,1600
